Unnamed: 0,id,race,sex,age,juv_fel_count,juv_misd_count,priors_count,charge_id,charge_degree,compas_decile_score,two_year_recid,compas_guess,compas_correct,c_charge_desc,mturk_charge_name,full_charge_description,model_prediction,meta_prediction
717,4447,2,0,24,0,0,2,336,1,3,1,0,0,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",0,0
470,10643,2,0,22,0,0,0,337,0,10,0,1,0,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,1
529,3380,2,1,45,0,0,1,10,1,4,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
639,8174,2,0,27,0,0,1,186,1,2,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
17,1082,2,0,50,0,0,18,129,1,8,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
443,4314,2,0,28,0,1,14,337,0,7,1,1,1,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",1,1
230,59,1,0,29,0,0,2,423,0,2,1,0,0,Viol Injunct Domestic Violence,Domestic Violence,"The touching or striking of a family member, household member, or domestic partner against their will",1,1
632,7700,2,0,28,0,0,6,186,1,10,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
118,7615,2,0,34,0,0,0,129,1,1,0,0,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,1,1
601,4426,1,1,43,0,0,0,186,0,2,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
399,8136,1,0,61,0,0,1,15,1,1,1,0,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
130,8418,1,0,44,0,0,0,129,1,7,0,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
356,3234,1,0,39,0,0,8,15,1,1,0,0,1,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",0,0
637,7875,2,0,25,0,0,4,186,1,9,1,1,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,1,1
169,10645,2,0,31,0,0,0,129,1,7,0,1,0,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
389,7292,2,1,35,0,0,13,15,1,8,0,1,0,Aggravated Assault W/Dead Weap,Assault with a Deadly Weapon,"An intentional and unlawful threat against another person with a deadly weapon, or while in the commission of a felony, which creates a reasonable fear that violence or harm is imminent",1,1
436,1700,2,0,25,0,0,0,337,0,3,1,0,0,Resist/Obstruct W/O Violence,Resisting an Officer,"When a person knowingly and willfuly, but not violently, resists, obstructs, or opposes a law enforcement officer engaged in the execution of legal process, or lawful execution of a legal duty",0,0
543,6087,1,1,55,0,0,6,10,1,4,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
569,10585,2,1,25,0,0,1,10,1,5,0,1,0,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,1,1
707,2666,2,1,34,0,0,5,336,1,5,1,1,1,Resist Officer w/Violence,Resisting an Officer with Violence,"When a person knowingly and willfully resists, obstructs, or opposes a law enforcement officer by threatening violence or engaging in violent conduct against the law enforcement officer was engaged in the lawful execution of a legal duty",1,1
650,10088,2,1,28,0,0,1,186,1,2,0,0,1,Grand Theft (Motor Vehicle),Grand Theft,The unlawful taking of property worth more than $300,0,0
524,2478,2,0,25,0,0,0,10,1,3,0,0,1,Aggrav Battery w/Deadly Weapon,Battery with a Deadly Weapon,Intentionally causing bodily harm to another person with a deadly weapon,0,0
126,8226,1,0,39,0,0,3,129,1,6,1,1,1,Driving While License Revoked,Driving with a Revoked License,Driving with a license that has been revoked,0,0
